Importance(%) Channel Frequency Index
5.022	F3	40.0	39
4.609	Fz	40.0	19
4.452	F4	40.0	59
4.399	F8	40.0	99
4.026	Cz	40.0	119
3.759	F3	38.0	38
3.564	P3	40.0	179
3.461	Fz	38.0	18
3.132	F3	4.0	21
2.621	C3	40.0	139
2.620	P4	40.0	219
2.506	F3	6.0	22
2.474	C3	38.0	138
2.367	Pz	40.0	199
2.048	Cz	38.0	118
2.011	F3	8.0	23
1.985	F3	36.0	37
1.856	Fz	36.0	17
1.760	F3	2.0	20
1.721	C3	36.0	137
1.633	F3	34.0	36
1.561	F3	32.0	35
1.366	F4	38.0	58
1.316	Fz	34.0	16
1.283	F8	4.0	81
0.984	F8	2.0	80
0.959	F8	6.0	82
0.898	C3	34.0	136
0.883	Fz	32.0	15
0.852	C3	2.0	120
0.850	P3	38.0	178
0.795	F7	4.0	61
0.791	C3	32.0	135
0.770	C3	10.0	124
0.764	F8	8.0	83
0.754	F3	30.0	34
0.720	F3	10.0	24
0.676	Fz	28.0	13
0.644	F4	8.0	43
0.638	C3	26.0	132
0.628	F4	6.0	42
0.627	C3	4.0	121
0.625	F4	2.0	40
0.624	Fz	30.0	14
0.598	F7	6.0	62
0.554	Fz	26.0	12
0.539	C3	8.0	123
0.517	C3	6.0	122
0.448	F4	26.0	52
0.414	F4	22.0	50
0.398	Fz	4.0	1
0.398	F4	4.0	41
0.395	F7	8.0	63
0.365	Fz	2.0	0
0.354	F7	2.0	60
0.338	F8	38.0	98
0.336	F3	12.0	25
0.319	P3	14.0	166
0.308	C4	14.0	146
0.271	Fz	6.0	2
0.267	C4	12.0	145
0.265	F4	30.0	54
0.257	F8	10.0	84
0.232	C3	12.0	125
0.201	F7	10.0	64
0.198	C3	30.0	134
0.189	P4	16.0	207
0.180	C4	16.0	147
0.173	F8	12.0	85
0.170	Cz	2.0	100
0.167	C4	18.0	148
0.166	Fz	8.0	3
0.165	C3	14.0	126
0.161	P3	8.0	163
0.158	P4	14.0	206
0.157	C4	10.0	144
0.149	Fz	24.0	11
0.148	C3	28.0	133
0.146	P4	12.0	205
0.145	P3	10.0	164
0.144	Fz	22.0	10
0.139	Cz	6.0	102
0.138	P3	12.0	165
0.137	P3	26.0	172
0.134	F7	12.0	65
0.134	Cz	16.0	107
0.131	P4	8.0	203
0.130	F7	14.0	66
0.129	Cz	8.0	103
0.125	C4	24.0	151
0.122	P4	10.0	204
0.121	Cz	36.0	117
0.118	F4	28.0	53
0.116	Cz	14.0	106
0.114	Fz	12.0	5
0.111	C4	32.0	155
0.111	F7	16.0	67
0.110	C3	16.0	127
0.108	Pz	4.0	181
0.099	C4	20.0	149
0.097	C3	24.0	131
0.096	C4	8.0	143
0.091	F3	26.0	32
0.087	Cz	4.0	101
0.086	Cz	12.0	105
0.082	C4	2.0	140
0.081	C4	4.0	141
0.081	Fz	16.0	7
0.080	C4	22.0	150
0.079	F4	20.0	49
0.079	Cz	10.0	104
0.079	F7	22.0	70
0.076	F7	40.0	79
0.074	P3	6.0	162
0.073	Cz	22.0	110
0.073	C4	26.0	152
0.073	C4	6.0	142
0.072	F8	30.0	94
0.071	F4	18.0	48
0.071	P4	30.0	214
0.070	F4	36.0	57
0.069	Pz	38.0	198
0.068	F3	24.0	31
0.066	Pz	6.0	182
0.065	P4	6.0	202
0.065	P3	16.0	167
0.064	P4	4.0	201
0.062	C4	28.0	153
0.062	Fz	10.0	4
0.062	Cz	28.0	113
0.060	P3	2.0	160
0.060	Pz	8.0	183
0.060	Fz	18.0	8
0.059	F8	24.0	91
0.059	Fz	20.0	9
0.058	F7	26.0	72
0.056	P4	28.0	213
0.056	P4	38.0	218
0.055	Cz	20.0	109
0.055	F4	14.0	46
0.055	Pz	2.0	180
0.055	P4	2.0	200
0.054	Pz	10.0	184
0.053	C4	30.0	154
0.053	F8	14.0	86
0.051	F4	34.0	56
0.051	C3	18.0	128
0.051	P3	24.0	171
0.049	Pz	14.0	186
0.047	P3	22.0	170
0.046	F4	10.0	44
0.046	F8	22.0	90
0.046	F4	32.0	55
0.045	C4	40.0	159
0.044	C4	34.0	156
0.044	F3	16.0	27
0.043	Cz	18.0	108
0.043	F3	28.0	33
0.043	F8	26.0	92
0.043	Pz	18.0	188
0.043	F8	28.0	93
0.041	Cz	26.0	112
0.040	F4	24.0	51
0.040	C4	38.0	158
0.039	F3	18.0	28
0.038	F8	16.0	87
0.037	P4	22.0	210
0.037	F7	24.0	71
0.037	F8	20.0	89
0.036	Fz	14.0	6
0.035	P3	32.0	175
0.035	F7	20.0	69
0.035	F4	12.0	45
0.034	P4	24.0	211
0.033	P3	4.0	161
0.032	C4	36.0	157
0.031	F3	20.0	29
0.030	F3	22.0	30
0.030	P4	18.0	208
0.030	Cz	34.0	116
0.029	P4	20.0	209
0.028	Pz	24.0	191
0.027	F8	32.0	95
0.027	Pz	28.0	193
0.027	P3	30.0	174
0.024	F8	18.0	88
0.024	F3	14.0	26
0.023	F7	30.0	74
0.023	Cz	24.0	111
0.023	F7	32.0	75
0.022	F4	16.0	47
0.021	P4	32.0	215
0.021	P3	20.0	169
0.021	F7	18.0	68
0.021	Cz	32.0	115
0.020	F8	36.0	97
0.020	Pz	16.0	187
0.020	Pz	36.0	197
0.019	P3	18.0	168
0.019	Pz	30.0	194
0.019	Pz	12.0	185
0.018	P4	26.0	212
0.018	F7	36.0	77
0.018	C3	20.0	129
0.018	Pz	26.0	192
0.018	Pz	22.0	190
0.017	Pz	34.0	196
0.017	Cz	30.0	114
0.016	Pz	32.0	195
0.016	Pz	20.0	189
0.015	P3	34.0	176
0.014	F7	28.0	73
0.013	F7	38.0	78
0.013	P3	28.0	173
0.012	F8	34.0	96
0.011	P3	36.0	177
0.009	F7	34.0	76
0.009	P4	36.0	217
0.009	C3	22.0	130
0.004	P4	34.0	216
